[17/12/2025, 05:42:22] 172.192.79.140 ~~ GET wolimp.com.br/indoxploit.php
[17/12/2025, 05:42:23] 172.192.79.140 ~~ GET wolimp.com.br/upload.php
[17/12/2025, 05:42:24] 172.192.79.140 ~~ GET wolimp.com.br/shell.php
[17/12/2025, 05:42:25] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.6.2.php
[17/12/2025, 05:42:25] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.6.1.php
[17/12/2025, 05:42:26] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.6.0.php
[17/12/2025, 05:42:26] 172.192.79.140 ~~ GET wolimp.com.br/adminer.php
[17/12/2025, 05:42:27] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.5.0.php
[17/12/2025, 05:42:28] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.4.0.php
[17/12/2025, 05:42:28] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.3.1.php
[17/12/2025, 05:42:29] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.3.0.php
[17/12/2025, 05:42:30] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.2.5.php
[17/12/2025, 05:42:30] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.2.4.php
[17/12/2025, 05:42:31] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.2.3.php
[17/12/2025, 05:42:31] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.2.2.php
[17/12/2025, 05:42:32] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.2.1.php
[17/12/2025, 05:42:32] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.2.0.php
[17/12/2025, 05:42:33] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.1.0.php
[17/12/2025, 05:42:33] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.0.3.php
[17/12/2025, 05:42:34] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.0.2.php
[17/12/2025, 05:42:35] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.0.1.php
[17/12/2025, 05:42:35] 172.192.79.140 ~~ GET wolimp.com.br/adminer-4.0.0.php
[17/12/2025, 05:42:36] 172.192.79.140 ~~ GET wolimp.com.br/adminer-3.7.1.php
[17/12/2025, 05:42:37] 172.192.79.140 ~~ GET wolimp.com.br/adminer-3.7.0.php
[17/12/2025, 05:42:38] 172.192.79.140 ~~ GET wolimp.com.br/adminer-3.6.4.php
[17/12/2025, 05:42:39] 172.192.79.140 ~~ GET wolimp.com.br/adminer-3.6.3.php
[17/12/2025, 05:42:39] 172.192.79.140 ~~ GET wolimp.com.br/adminer-3.6.2.php
[17/12/2025, 05:42:40] 172.192.79.140 ~~ GET wolimp.com.br/adminer-3.6.1.php
[17/12/2025, 05:42:40] 172.192.79.140 ~~ GET wolimp.com.br/adminer-3.6.0.php
[17/12/2025, 05:42:41] 172.192.79.140 ~~ GET wolimp.com.br/ad.php
[17/12/2025, 05:42:42] 172.192.79.140 ~~ GET wolimp.com.br/regpage.php
[17/12/2025, 05:42:42] 172.192.79.140 ~~ GET wolimp.com.br/phpnet1.php
[17/12/2025, 08:00:03] 4.196.79.66 ~~ GET wolimp.com.br/wp-content/plugins/hellopress/wp_filemanager.php
[17/12/2025, 08:00:04] 4.196.79.66 ~~ GET wolimp.com.br/berlin.php
[17/12/2025, 08:00:05] 4.196.79.66 ~~ GET wolimp.com.br/class-t.api.php
[17/12/2025, 08:00:05] 4.196.79.66 ~~ GET wolimp.com.br/class-t.api2.php
[17/12/2025, 08:00:06] 4.196.79.66 ~~ GET wolimp.com.br/xz89.php
[17/12/2025, 08:00:07] 4.196.79.66 ~~ GET wolimp.com.br/thai.php
[17/12/2025, 08:00:07] 4.196.79.66 ~~ GET wolimp.com.br/lopst.php
[17/12/2025, 08:00:08] 4.196.79.66 ~~ GET wolimp.com.br/wft.php
[17/12/2025, 08:00:08] 4.196.79.66 ~~ GET wolimp.com.br/ws28.php
[17/12/2025, 08:00:09] 4.196.79.66 ~~ GET wolimp.com.br/wsheet1.php
[17/12/2025, 08:00:10] 4.196.79.66 ~~ GET wolimp.com.br/wsvvs.php
[17/12/2025, 08:00:11] 4.196.79.66 ~~ GET wolimp.com.br/vbbn.php
[17/12/2025, 08:00:11] 4.196.79.66 ~~ GET wolimp.com.br/pn.php
[17/12/2025, 08:00:12] 4.196.79.66 ~~ GET wolimp.com.br/fz.php
[17/12/2025, 08:00:13] 4.196.79.66 ~~ GET wolimp.com.br/sang.php
[17/12/2025, 08:00:13] 4.196.79.66 ~~ GET wolimp.com.br/0o0.php
[17/12/2025, 08:00:14] 4.196.79.66 ~~ GET wolimp.com.br/zxl.php
[17/12/2025, 08:00:15] 4.196.79.66 ~~ GET wolimp.com.br/zwso.php
[17/12/2025, 08:00:16] 4.196.79.66 ~~ GET wolimp.com.br/wp-admin/css/colors/blue/index.php
[17/12/2025, 08:00:16] 4.196.79.66 ~~ GET wolimp.com.br/class19.php
[17/12/2025, 08:00:17] 4.196.79.66 ~~ GET wolimp.com.br/class20.php
[17/12/2025, 08:00:18] 4.196.79.66 ~~ GET wolimp.com.br/admin.php?p=
[17/12/2025, 08:00:19] 4.196.79.66 ~~ GET wolimp.com.br/randkeyword.php
[17/12/2025, 08:00:19] 4.196.79.66 ~~ GET wolimp.com.br/fwe.php
[17/12/2025, 08:00:20] 4.196.79.66 ~~ GET wolimp.com.br/tx1.php
[17/12/2025, 08:00:21] 4.196.79.66 ~~ GET wolimp.com.br/xv.php
[17/12/2025, 08:00:22] 4.196.79.66 ~~ GET wolimp.com.br/htaccess.php
[17/12/2025, 08:00:22] 4.196.79.66 ~~ GET wolimp.com.br/readme.php
[17/12/2025, 08:00:23] 4.196.79.66 ~~ GET wolimp.com.br/fv.php
[17/12/2025, 08:00:24] 4.196.79.66 ~~ GET wolimp.com.br/lsd.php
[17/12/2025, 08:00:24] 4.196.79.66 ~~ GET wolimp.com.br/as.php
[17/12/2025, 08:00:25] 4.196.79.66 ~~ GET wolimp.com.br/wsd.php
[17/12/2025, 08:00:26] 4.196.79.66 ~~ GET wolimp.com.br/gtc.php
[17/12/2025, 08:00:26] 4.196.79.66 ~~ GET wolimp.com.br/atx.php
[17/12/2025, 08:00:27] 4.196.79.66 ~~ GET wolimp.com.br/z60.php
[17/12/2025, 08:00:28] 4.196.79.66 ~~ GET wolimp.com.br/403.php
[17/12/2025, 08:00:29] 4.196.79.66 ~~ GET wolimp.com.br/themes.php
[17/12/2025, 08:00:29] 4.196.79.66 ~~ GET wolimp.com.br/wp-admin/maint/about.php
[17/12/2025, 08:00:30] 4.196.79.66 ~~ GET wolimp.com.br/wp-admin/network/wp-conflg.php?p=
[17/12/2025, 08:00:31] 4.196.79.66 ~~ GET wolimp.com.br/click.php
[17/12/2025, 08:00:31] 4.196.79.66 ~~ GET wolimp.com.br/install.php
